TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/10/24
TIME,12:30:55
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  999.9351
LASTX, 4000.0090
NPOINTS,    5263
XYDATA
999.9351,2137
1000.7448,2152
1001.5543,2139
1002.3637,2159
1003.1730,2164
1003.9821,2162
1004.7911,2143
1005.5999,2162
1006.4086,2190
1007.2171,2174
1008.0255,2190
1008.8337,2159
1009.6418,2169
1010.4497,2197
1011.2575,2177
1012.0651,2184
1012.8726,2197
1013.6799,2195
1014.4871,2184
1015.2941,2229
1016.1010,2232
1016.9078,2224
1017.7144,2205
1018.5208,2233
1019.3271,2204
1020.1332,2221
1020.9392,2223
1021.7451,2245
1022.5508,2239
1023.3563,2225
1024.1617,2237
1024.9669,2229
1025.7721,2231
1026.5770,2257
1027.3818,2232
1028.1865,2246
1028.9910,2275
1029.7954,2274
1030.5996,2248
1031.4037,2275
1032.2075,2269
1033.0114,2287
1033.8149,2286
1034.6184,2264
1035.4218,2281
1036.2250,2315
1037.0280,2266
1037.8308,2312
1038.6335,2274
1039.4362,2300
1040.2386,2318
1041.0409,2305
1041.8430,2321
1042.6450,2311
1043.4469,2328
1044.2487,2348
1045.0502,2340
1045.8516,2345
1046.6528,2317
1047.4540,2340
1048.2549,2370
1049.0557,2350
1049.8564,2361
1050.6569,2377
1051.4573,2393
1052.2576,2399
1053.0576,2372
1053.8575,2392
1054.6573,2397
1055.4569,2400
1056.2565,2412
1057.0558,2408
1057.8550,2419
1058.6541,2407
1059.4529,2430
1060.2517,2434
1061.0503,2436
1061.8488,2413
1062.6471,2426
1063.4452,2453
1064.2433,2438
1065.0411,2430
1065.8389,2454
1066.6365,2463
1067.4338,2446
1068.2312,2469
1069.0283,2509
1069.8253,2476
1070.6222,2491
1071.4188,2479
1072.2155,2485
1073.0118,2526
1073.8081,2515
1074.6042,2485
1075.4001,2526
1076.1959,2514
1076.9917,2509
1077.7872,2542
1078.5825,2521
1079.3778,2532
1080.1729,2528
1080.9679,2540
1081.7627,2536
1082.5573,2560
1083.3518,2552
1084.1461,2567
1084.9403,2557
1085.7344,2578
1086.5283,2551
1087.3221,2558
1088.1157,2566
1088.9093,2587
1089.7026,2595
1090.4957,2578
1091.2888,2581
1092.0817,2606
1092.8745,2566
1093.6671,2578
1094.4596,2593
1095.2518,2597
1096.0441,2635
1096.8361,2610
1097.6279,2605
1098.4197,2632
1099.2113,2624
1100.0027,2635
1100.7939,2622
1101.5852,2645
1102.3762,2631
1103.1670,2654
1103.9578,2645
1104.7483,2646
1105.5387,2663
1106.3290,2646
1107.1191,2635
1107.9092,2662
1108.6990,2658
1109.4886,2665
1110.2782,2676
1111.0676,2679
1111.8569,2716
1112.6460,2671
1113.4351,2686
1114.2239,2690
1115.0126,2695
1115.8010,2670
1116.5895,2705
1117.3777,2709
1118.1658,2703
1118.9537,2698
1119.7416,2668
1120.5293,2700
1121.3168,2704
1122.1041,2667
1122.8914,2710
1123.6785,2713
1124.4655,2705
1125.2522,2702
1126.0389,2732
1126.8254,2696
1127.6118,2720
1128.3979,2745
1129.1841,2742
1129.9700,2748
1130.7559,2754
1131.5415,2745
1132.3269,2716
1133.1123,2752
1133.8976,2745
