TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/10/24
TIME,12:09:56
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  999.9351
LASTX, 4000.3132
NPOINTS,    5264
XYDATA
999.9351,1262
1000.7448,1272
1001.5543,1260
1002.3637,1263
1003.1730,1269
1003.9821,1270
1004.7911,1262
1005.5999,1267
1006.4086,1267
1007.2171,1278
1008.0255,1277
1008.8337,1265
1009.6418,1285
1010.4497,1281
1011.2575,1278
1012.0651,1272
1012.8726,1284
1013.6799,1289
1014.4871,1295
1015.2941,1290
1016.1010,1283
1016.9078,1301
1017.7144,1291
1018.5208,1311
1019.3271,1291
1020.1332,1270
1020.9392,1295
1021.7451,1304
1022.5508,1295
1023.3563,1301
1024.1617,1293
1024.9669,1297
1025.7721,1307
1026.5770,1316
1027.3818,1313
1028.1865,1331
1028.9910,1302
1029.7954,1300
1030.5996,1303
1031.4037,1323
1032.2075,1293
1033.0114,1325
1033.8149,1321
1034.6184,1327
1035.4218,1318
1036.2250,1320
1037.0280,1320
1037.8308,1329
1038.6335,1340
1039.4362,1321
1040.2386,1315
1041.0409,1323
1041.8430,1322
1042.6450,1335
1043.4469,1329
1044.2487,1342
1045.0502,1334
1045.8516,1349
1046.6528,1353
1047.4540,1340
1048.2549,1359
1049.0557,1353
1049.8564,1339
1050.6569,1340
1051.4573,1365
1052.2576,1365
1053.0576,1367
1053.8575,1375
1054.6573,1364
1055.4569,1369
1056.2565,1369
1057.0558,1364
1057.8550,1382
1058.6541,1371
1059.4529,1375
1060.2517,1382
1061.0503,1370
1061.8488,1398
1062.6471,1397
1063.4452,1409
1064.2433,1380
1065.0411,1385
1065.8389,1391
1066.6365,1394
1067.4338,1397
1068.2312,1397
1069.0283,1410
1069.8253,1409
1070.6222,1416
1071.4188,1392
1072.2155,1395
1073.0118,1408
1073.8081,1435
1074.6042,1427
1075.4001,1420
1076.1959,1408
1076.9917,1417
1077.7872,1428
1078.5825,1417
1079.3778,1430
1080.1729,1438
1080.9679,1434
1081.7627,1431
1082.5573,1445
1083.3518,1417
1084.1461,1441
1084.9403,1424
1085.7344,1443
1086.5283,1440
1087.3221,1442
1088.1157,1445
1088.9093,1466
1089.7026,1463
1090.4957,1442
1091.2888,1457
1092.0817,1444
1092.8745,1462
1093.6671,1447
1094.4596,1445
1095.2518,1463
1096.0441,1467
1096.8361,1464
1097.6279,1459
1098.4197,1457
1099.2113,1479
1100.0027,1459
1100.7939,1482
1101.5852,1480
1102.3762,1465
1103.1670,1466
1103.9578,1473
1104.7483,1467
1105.5387,1463
1106.3290,1478
1107.1191,1476
1107.9092,1487
1108.6990,1487
1109.4886,1498
1110.2782,1480
1111.0676,1480
1111.8569,1505
1112.6460,1500
1113.4351,1495
1114.2239,1504
1115.0126,1501
1115.8010,1498
1116.5895,1513
1117.3777,1503
1118.1658,1511
1118.9537,1493
1119.7416,1491
1120.5293,1507
1121.3168,1506
1122.1041,1495
1122.8914,1497
1123.6785,1492
1124.4655,1502
1125.2522,1513
1126.0389,1504
1126.8254,1503
1127.6118,1509
1128.3979,1507
1129.1841,1499
1129.9700,1522
1130.7559,1494
1131.5415,1517
1132.3269,1513
1133.1123,1525
1133.8976,1529
