# Time-averaged data for fix fout1
# TimeStep v_energy v_temperature
100 -927.415 1263.19
200 -915.998 1517.06
300 -899.94 1702.66
400 -881.694 2094.09
500 -864.115 2382.98
600 -850.971 2676.28
700 -847.394 2587.52
800 -851.173 2613.27
900 -858.218 2456.15
1000 -863.418 2357.24
1100 -861.924 2445.8
1200 -856.389 2521
1300 -851.767 2570.53
1400 -849.87 2467.88
1500 -847.625 2546.84
1600 -847.318 2513
1700 -847.177 2415.77
1800 -843.854 2515.42
1900 -838.91 2575.59
2000 -835.28 2544.56
2100 -831.321 2576.58
2200 -823.811 2491.17
2300 -817.177 2502.08
2400 -813.544 2513.3
2500 -812.017 2475.61
2600 -807.839 2516.66
2700 -797.762 2527.53
2800 -796.051 2628.76
2900 -800.183 2345.49
3000 -797.451 2301.89
3100 -788.539 2547.27
3200 -788.045 2541.28
3300 -790.192 2481.19
3400 -792.975 2443.86
3500 -796.136 2407.25
3600 -797.118 2438.17
3700 -793.637 2436.39
3800 -785.959 2524.63
3900 -782.601 2620.45
4000 -785.539 2550.68
4100 -793.468 2330.05
4200 -795.689 2400.5
4300 -792.564 2409.25
4400 -790.377 2452.26
4500 -788.084 2584.13
4600 -789.456 2545.49
4700 -794.782 2440.57
4800 -797.711 2383.92
4900 -793.408 2469.12
5000 -784.094 2543.34
5100 -782.679 2625.75
5200 -787.279 2524.22
5300 -792.839 2388.98
5400 -793.291 2442.77
5500 -784.162 2658.84
5600 -778.883 2751.12
5700 -786.421 2544.98
5800 -791.45 2443.43
5900 -791.912 2442.28
6000 -788.389 2566.12
6100 -781.364 2670.48
6200 -780.129 2556.97
6300 -785.493 2433.31
6400 -791.753 2401.88
6500 -792.737 2371.78
6600 -783.982 2556.63
6700 -779.409 2712.91
6800 -782.982 2425.87
6900 -783.739 2508.19
7000 -786.057 2626.47
7100 -795.938 2322.21
7200 -795.54 2347.7
7300 -788.878 2534.5
7400 -785.275 2466.36
7500 -783.2 2515.44
7600 -780.043 2622.51
7700 -775.342 2686.55
7800 -779.355 2683.98
7900 -788.09 2437.54
8000 -789.294 2464.52
8100 -786.297 2409.84
8200 -778.795 2611.6
8300 -778.405 2617
8400 -781.766 2469.88
8500 -783.324 2573.1
8600 -785.665 2577.07
8700 -790.194 2558.93
8800 -794.187 2439.6
8900 -793.873 2423.87
9000 -791.392 2478.54
9100 -790.089 2494.77
9200 -789.557 2550.04
9300 -791.871 2514.06
9400 -797.132 2253.95
9500 -794.8 2257.95
9600 -785.03 2564.58
9700 -782.051 2499.89
9800 -781.446 2612.65
9900 -787.793 2575.49
10000 -794.737 2442.27
10100 -795.41 2487.45
10200 -792.298 2491.52
10300 -783.802 2624.73
10400 -781.213 2614.2
10500 -785.309 2485.47
10600 -793.735 2482.37
10700 -802.21 2298.31
10800 -799.013 2426.88
10900 -792.441 2419.56
11000 -786.119 2496.71
