# Time-averaged data for fix fout2
# TimeStep Number-of-rows
# Row c_distribution[1] c_distribution[2] c_distribution[3]
11000 50
1 0.06 0 0
2 0.18 0 0
3 0.3 0 0
4 0.42 0 0
5 0.54 0 0
6 0.66 0 0
7 0.78 0 0
8 0.9 0 0
9 1.02 0 0
10 1.14 0 0
11 1.26 0 0
12 1.38 0 0
13 1.5 0 0
14 1.62 0 0
15 1.74 0 0
16 1.86 0 0
17 1.98 0.0129159 0.0037963
18 2.1 0.396002 0.134722
19 2.22 1.62619 0.735556
20 2.34 2.42396 1.73056
21 2.46 2.11287 2.68907
22 2.58 1.37353 3.37444
23 2.7 0.849045 3.83843
24 2.82 0.581692 4.18519
25 2.94 0.514318 4.51843
26 3.06 0.798636 5.07898
27 3.18 1.11573 5.92472
28 3.3 1.12568 6.84361
29 3.42 1.1161 7.82213
30 3.54 1.13694 8.89009
31 3.66 1.09949 9.99407
32 3.78 1.06805 11.138
33 3.9 1.02949 12.3117
34 4.02 1.00931 13.5343
35 4.14 1.0091 14.8306
36 4.26 0.978306 16.1614
37 4.38 0.958213 17.5393
38 4.5 0.930669 18.9519
39 4.62 0.922077 20.427
40 4.74 0.919584 21.9756
41 4.86 0.922225 23.6083
42 4.98 0.932512 25.3418
43 5.1 0.95602 27.2056
44 5.22 1.02188 29.2926
45 5.34 1.03816 31.5115
46 5.46 1.07396 33.9112
47 5.58 1.07552 36.4212
48 5.7 1.05885 38.9997
49 5.82 1.04802 41.6605
50 5.94 1.04147 44.4147
