Filename:       C:\Documents and Settings\user\デスクトップ\takeuchi\20251218\N2_to_Si.txt
Program:        SpecSurf 1.70
Comment:        
Operator:       user
Date:           Thu Dec 18 16:15:13 2025

Sample:         1/1
Point:          1/1
Region:         1/5
Level:          1/1
Start:          412
Finish:         389
Step:           0.2
Dwell:          1000
Scans:          2
Repeat          1
Size:           116
BE,Intensity
412,29737.5
411.8,29718
411.6,29604.5
411.4,29837
411.2,29663
411,29690
410.8,29851.5
410.6,29599.5
410.4,29470
410.2,29727
410,29857.5
409.8,29702.5
409.6,29637
409.4,29655.5
409.2,29696
409,29830.5
408.8,29828
408.6,29814
408.4,29858.5
408.2,29744
408,29908.5
407.8,29900
407.6,29754
407.4,29755.5
407.2,30046
407,30021
406.8,29799
406.6,29893.5
406.4,30148.5
406.2,30008
406,30161.5
405.8,30187
405.6,30468
405.4,30568
405.2,30738
405,30719
404.8,30989
404.6,31111.5
404.4,31324
404.2,31581.5
404,31725
403.8,31786.5
403.6,32101.5
403.4,32054
403.2,32018.5
403,32001.5
402.8,32198
402.6,32186.5
402.4,31609
402.2,31409
402,31214.5
401.8,30893
401.6,30493.5
401.4,30209
401.2,30228.5
401,29615.5
400.8,29566.5
400.6,29820.5
400.4,29338
400.2,29491
400,29660
399.8,29653
399.6,29427
399.4,29577.5
399.2,29609.5
399,29370
398.8,29488
398.6,29681.5
398.4,29547
398.2,29551
398,29677.5
397.8,29637
397.6,29634.5
397.4,29515.5
397.2,29646
397,29703.5
396.8,29654
396.6,29739.5
396.4,29653.5
396.2,29764
396,29698
395.8,29721
395.6,29671.5
395.4,29604
395.2,29520.5
395,29774
394.8,29748
394.6,29741.5
394.4,29476
394.2,29885.5
394,29831
393.8,29776
393.6,29953
393.4,29865
393.2,29636.5
393,29766.5
392.8,30044
392.6,29750.5
392.4,29871
392.2,29775.5
392,29647.5
391.8,29728
391.6,29700.5
391.4,29622.5
391.2,29704
391,29559.5
390.8,29562
390.6,29538.5
390.4,29686.5
390.2,29570
390,29690.5
389.8,29659.5
389.6,29500
389.4,29638.5
389.2,29685.5
389,29590.5

Point:          1/1
Region:         2/5
Level:          1/1
Start:          545
Finish:         528
Step:           0.2
Dwell:          1000
Scans:          2
Repeat          1
Size:           86
BE,Intensity
545,36853
544.8,36752.5
544.6,36479
544.4,36697.5
544.2,36566
544,36416.5
543.8,36346
543.6,36616.5
543.4,36592.5
543.2,36583
543,36640.5
542.8,36563.5
542.6,36636
542.4,36733.5
542.2,36883.5
542,36894
541.8,36797
541.6,37198
541.4,37350.5
541.2,37623.5
541,37688.5
540.8,38008
540.6,38713
540.4,38930
540.2,39625
540,40822
539.8,42312.5
539.6,44131
539.4,47170.5
539.2,50726
539,55209
538.8,60580.5
538.6,67218.5
538.4,75243.5
538.2,83788.5
538,92808
537.8,100566
537.6,107425
537.4,110803
537.2,111252
537,107902
536.8,101048
536.6,91950
536.4,81907
536.2,72166.5
536,63286.5
535.8,56322
535.6,50111
535.4,45756
535.2,42549
535,39945.5
534.8,38296
534.6,37320
534.4,36080
534.2,35820.5
534,35213.5
533.8,34849.5
533.6,34485
533.4,34533.5
533.2,34120
533,34206
532.8,34347
532.6,34082.5
532.4,34149
532.2,34139.5
532,33946.5
531.8,33852
531.6,33483.5
531.4,33753
531.2,33746.5
531,33681.5
530.8,34117.5
530.6,34258.5
530.4,34521.5
530.2,35278
530,35647.5
529.8,36571.5
529.6,36941
529.4,37895.5
529.2,38521.5
529,38949
528.8,39396
528.6,39382.5
528.4,39458
528.2,39773
528,38575

Point:          1/1
Region:         3/5
Level:          1/1
Start:          112
Finish:         96
Step:           0.2
Dwell:          1000
Scans:          2
Repeat          1
Size:           81
BE,Intensity
112,8477
111.8,8462
111.6,8555
111.4,8446.5
111.2,8603
111,8534
110.8,8532
110.6,8600.5
110.4,8705.5
110.2,8780.5
110,8874.5
109.8,9207.5
109.6,9572
109.4,9981.5
109.2,10712
109,11583.5
108.8,12543.5
108.6,13506.5
108.4,14494
108.2,15755
108,16713.5
107.8,17216.5
107.6,17792.5
107.4,17942.5
107.2,17754.5
107,17477.5
106.8,17065
106.6,16592.5
106.4,16235
106.2,15674.5
106,15812
105.8,15867.5
105.6,16493
105.4,17608
105.2,18804
105,20596
104.8,21961.5
104.6,23222.5
104.4,23247.5
104.2,22455
104,20938
103.8,18137.5
103.6,15131.5
103.4,12353.5
103.2,10288.5
103,8914
102.8,7877
102.6,7264.5
102.4,7026.5
102.2,6718
102,6500.5
101.8,6444
101.6,6263.5
101.4,6317
101.2,6273.5
101,6235
100.8,6194
100.6,6416
100.4,6457
100.2,6424.5
100,6544
99.8,6652.5
99.6,6675
99.4,6716
99.2,6778
99,6746
98.8,6794.5
98.6,6779
98.4,6749.5
98.2,6843
98,6774.5
97.8,6884.5
97.6,6788
97.4,6778.5
97.2,6915
97,6980
96.8,6965
96.6,7192.5
96.4,7202
96.2,7265
96,7297.5

Point:          1/1
Region:         4/5
Level:          1/1
Start:          600
Finish:         0
Step:           1
Dwell:          100
Scans:          2
Repeat          1
Size:           601
BE,Intensity
600,10171.5
599,10259
598,10172.5
597,10185
596,10112.5
595,10248
594,10340.5
593,10423.5
592,10387.5
591,10254
590,10320
589,10452.5
588,10379.5
587,10385
586,10360.5
585,10242.5
584,10437.5
583,10349
582,10304
581,10343
580,10200
579,10260
578,10346
577,10290.5
576,10330.5
575,10314
574,10356.5
573,10324.5
572,10312
571,10337.5
570,10359.5
569,10387.5
568,10327.5
567,10355
566,10533.5
565,10539.5
564,10632
563,10685
562,10857.5
561,10802
560,10876
559,10875
558,10783
557,10786.5
556,10594
555,10288.5
554,10213
553,10033
552,9830
551,9677.5
550,9587.5
549,9339.5
548,9173.5
547,8930.5
546,8896
545,8833
544,8705.5
543,8665
542,8550
541,8820.5
540,10115
539,14050.5
538,20984.5
537,23527.5
536,16429.5
535,10493
534,8712.5
533,8383.5
532,7993.5
531,7968.5
530,8449
529,9074
528,9073
527,8695
526,8191
525,7690
524,7445
523,7455.5
522,7514
521,7502
520,7427.5
519,7358.5
518,7433.5
517,7484.5
516,7449.5
515,7376
514,7456.5
513,7300.5
512,7357.5
511,7343.5
510,7350.5
509,7258.5
508,7324.5
507,7428.5
506,7310.5
505,7315
504,7436.5
503,7353
502,7415.5
501,7238.5
500,7298.5
499,7315.5
498,7351
497,7324
496,7328
495,7302
494,7330.5
493,7351
492,7420
491,7436
490,7364.5
489,7451.5
488,7440.5
487,7430.5
486,7333.5
485,7371.5
484,7276.5
483,7265.5
482,7260.5
481,7179.5
480,7316
479,7392.5
478,7406
477,7319.5
476,7146.5
475,7199.5
474,7230
473,7243
472,7323.5
471,7240.5
470,7403.5
469,7397.5
468,7287
467,7237
466,7309
465,7341.5
464,7311.5
463,7274
462,7398.5
461,7250.5
460,7294.5
459,7326
458,7251
457,7407.5
456,7332
455,7337.5
454,7248
453,7275
452,7253.5
451,7376.5
450,7335.5
449,7271.5
448,7330
447,7423
446,7331
445,7313
444,7357
443,7401.5
442,7366.5
441,7357.5
440,7371.5
439,7260.5
438,7388
437,7236
436,7257
435,7337
434,7429
433,7337.5
432,7296
431,7393
430,7319.5
429,7298
428,7467
427,7384.5
426,7329.5
425,7419.5
424,7330
423,7290
422,7315
421,7410
420,7416.5
419,7492
418,7419.5
417,7304
416,7251.5
415,7268.5
414,7250
413,7279
412,7284.5
411,7224.5
410,7204.5
409,7257
408,7342
407,7233.5
406,7388
405,7612.5
404,7827.5
403,7943.5
402,7706
401,7476
400,7284
399,7323
398,7362
397,7377
396,7443
395,7403.5
394,7411.5
393,7395.5
392,7405.5
391,7203
390,7240.5
389,7350
388,7315
387,7240.5
386,7437
385,7261.5
384,7400.5
383,7425
382,7443
381,7411.5
380,7384
379,7379
378,7365
377,7499
376,7488.5
375,7414.5
374,7482
373,7475.5
372,7452
371,7526.5
370,7479.5
369,7529
368,7597.5
367,7607.5
366,7590
365,7639.5
364,7581.5
363,7605
362,7692
361,7598
360,7741.5
359,7748
358,7652
357,7698
356,7700.5
355,7701
354,7782
353,7740
352,7760
351,7646
350,7734.5
349,7855.5
348,7716.5
347,7805.5
346,7842
345,7840
344,7937.5
343,7929.5
342,7938.5
341,7954
340,7935
339,8063.5
338,8095
337,8067.5
336,8124
335,8096
334,8159.5
333,8117
332,8137
331,8146
330,8265
329,8256.5
328,8320.5
327,8374.5
326,8524
325,8564
324,8480.5
323,8514
322,8452.5
321,8565.5
320,8470.5
319,8550
318,8594.5
317,8724.5
316,8617
315,8666.5
314,8711.5
313,8847.5
312,8780.5
311,8892
310,8765
309,8645
308,8732.5
307,8502.5
306,8544.5
305,8556.5
304,8608.5
303,8400.5
302,8148.5
301,7958.5
300,8001.5
299,8062
298,8139
297,8088.5
296,8272.5
295,8414.5
294,8618
293,9190.5
292,10244.5
291,13785.5
290,19762.5
289,20081.5
288,12652.5
287,8838.5
286,7719.5
285,7501
284,7437
283,7617
282,8036
281,8440
280,8209
279,7970.5
278,7491
277,7040
276,7034
275,7095
274,7017
273,6923.5
272,7011
271,7082
270,6909
269,6922
268,7023
267,6984.5
266,7049
265,6799
264,6860.5
263,6952
262,6906.5
261,6985
260,6853
259,6983
258,7018
257,6858
256,7003
255,7035
254,6968.5
253,6990
252,7020.5
251,7006.5
250,6988.5
249,6955
248,6971
247,7058
246,6976.5
245,7060.5
244,7063.5
243,7064.5
242,6960.5
241,6930.5
240,6991.5
239,7080
238,7022.5
237,7054.5
236,7099.5
235,6944
234,7081.5
233,7057
232,6963.5
231,7024.5
230,7083
229,6986
228,6987
227,7049
226,6969
225,6957.5
224,7015
223,6918
222,6935.5
221,7037
220,6996.5
219,7013
218,6950.5
217,6955.5
216,6961
215,7049.5
214,6994.5
213,7026.5
212,7145.5
211,7024.5
210,6956.5
209,6935.5
208,6971.5
207,6880.5
206,6942
205,6914.5
204,6889
203,6808.5
202,6824.5
201,6849.5
200,6882
199,6818.5
198,6784
197,6888
196,6831
195,6876
194,6779
193,6760.5
192,6800
191,6779
190,6839
189,6678.5
188,6636
187,6668
186,6528.5
185,6494.5
184,6454.5
183,6386
182,6566
181,6444.5
180,6445
179,6446.5
178,6474
177,6569
176,6357.5
175,6559.5
174,6497
173,6482
172,6358.5
171,6074
170,5791
169,5670
168,5615
167,5447
166,5335.5
165,5323.5
164,5244.5
163,5183
162,5238.5
161,5477.5
160,5921.5
159,6709.5
158,7170
157,7270.5
156,7734
155,7229
154,5643
153,4916
152,4648
151,4589
150,4576
149,4539.5
148,4609.5
147,4485.5
146,4457
145,4273.5
144,4242
143,4243.5
142,4096.5
141,4120.5
140,4125
139,4084.5
138,4092
137,4017
136,3878.5
135,3868.5
134,3756.5
133,3651
132,3634
131,3605
130,3609
129,3664
128,3694
127,3705.5
126,3659.5
125,3752.5
124,3781.5
123,3772
122,3758
121,3683
120,3422.5
119,3074
118,2885
117,2715
116,2491.5
115,2440
114,2403
113,2331.5
112,2368.5
111,2305
110,2458.5
109,3123
108,4163.5
107,4693.5
106,4499
105,5073.5
104,5383.5
103,3190.5
102,1930.5
101,1710.5
100,1705.5
99,1821.5
98,1824
97,1853.5
96,1877
95,1845.5
94,1709
93,1527
92,1406.5
91,1392.5
90,1393
89,1360
88,1402
87,1400
86,1367.5
85,1381
84,1383
83,1394
82,1351.5
81,1382.5
80,1368
79,1361.5
78,1368
77,1343
76,1352.5
75,1357.5
74,1371
73,1384.5
72,1367
71,1348
70,1360.5
69,1326
68,1337
67,1332.5
66,1315
65,1320
64,1356
63,1348.5
62,1350
61,1366.5
60,1377.5
59,1409
58,1429
57,1512
56,1546.5
55,1427
54,1378
53,1312.5
52,1319
51,1366
50,1358
49,1297.5
48,1297.5
47,1304.5
46,1365
45,1300
44,1274.5
43,1234.5
42,1224
41,1253
40,1291
39,1237.5
38,1263.5
37,1292
36,1310
35,1299
34,1350.5
33,1375.5
32,1459.5
31,1529.5
30,1557.5
29,1511
28,1401.5
27,1312.5
26,1250.5
25,1286.5
24,1264.5
23,1287.5
22,1291
21,1252.5
20,1334.5
19,1258
18,1306
17,1258.5
16,1243.5
15,1229.5
14,1225.5
13,1244.5
12,1249
11,1232
10,1168.5
9,1123
8,1070
7,1022.5
6,1014.5
5,953.5
4,979
3,983
2,924
1,961
0,946

Point:          1/1
Region:         5/5
Level:          1/1
Start:          298
Finish:         284
Step:           0.1
Dwell:          1000
Scans:          2
Repeat          1
Size:           141
BE,Intensity
298,30955.5
297.9,31222
297.8,31233
297.7,31127
297.6,31282
297.5,31336.5
297.4,31173
297.3,31198.5
297.2,31169.5
297.1,31101
297,31276.5
296.9,31486
296.8,31286.5
296.7,31320
296.6,31299
296.5,31360
296.4,31208.5
296.3,31444.5
296.2,31329.5
296.1,31547
296,31706.5
295.9,31688
295.8,31591
295.7,31513
295.6,31573.5
295.5,31945
295.4,32053.5
295.3,32030.5
295.2,32236
295.1,31996
295,32391.5
294.9,32462.5
294.8,32707
294.7,32732.5
294.6,32985
294.5,33015
294.4,33409
294.3,33637
294.2,33978
294.1,33691.5
294,34086
293.9,34340.5
293.8,34435
293.7,34347.5
293.6,34568
293.5,34516
293.4,34708
293.3,35200
293.2,35107
293.1,35295.5
293,35082.5
292.9,35635.5
292.8,35610
292.7,36168
292.6,36746
292.5,36863
292.4,37318
292.3,37733.5
292.2,38203.5
292.1,38717.5
292,39620.5
291.9,40490
291.8,41319
291.7,42245
291.6,43178.5
291.5,44184
291.4,45486
291.3,47382.5
291.2,49078.5
291.1,51130
291,52929.5
290.9,55299
290.8,58334.5
290.7,61262.5
290.6,65243.5
290.5,68210
290.4,71673
290.3,76100
290.2,79655.5
290.1,82918
290,86329.5
289.9,88614
289.8,90292
289.7,91366
289.6,91623
289.5,90822.5
289.4,89000.5
289.3,86204
289.2,83291
289.1,79140
289,75466.5
288.9,70525.5
288.8,66311
288.7,61710.5
288.6,57482.5
288.5,53628.5
288.4,50745
288.3,47512
288.2,44748
288.1,42044
288,40633.5
287.9,38817
287.8,37405
287.7,36210.5
287.6,35012
287.5,33928
287.4,33458
287.3,32804
287.2,31822.5
287.1,31574.5
287,31200
286.9,30765.5
286.8,30427.5
286.7,30281
286.6,30140.5
286.5,29780.5
286.4,29682.5
286.3,29462.5
286.2,29522
